Capacity,Rb_avg,Rb_max,Rb_min,snr_avg,snr_max,snr_min,blocking_count
76700.0,300.78431372549016,400.0,100.0,25.473921079936858,31.01334312901939,19.760521674655536,38.0
74900.0,296.04743083003956,400.0,100.0,25.42347789555783,31.01334312901939,20.07610213220015,38.0
79100.0,305.4054054054054,400.0,100.0,25.599216179158297,31.01334312901939,20.339391519423643,33.0
80900.0,312.35521235521236,400.0,100.0,25.543487354989235,31.01334312901939,21.31178881981431,35.0
76100.0,300.79051383399207,400.0,100.0,25.439556707065663,31.01334312901939,19.440922386242868,37.0
